canonical_smiles,standard_units,standard_value,units,value,Potency
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@H](C)c1c[nH]c2ccccc12,nM,820.0,nM,820.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)c1c[nH]c2ccccc12,nM,1050.0,nM,1050.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O,nM,29.0,nM,29.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@H](C)c1c[nH]c2ccccc12,nM,65.0,nM,65.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)c1c[nH]c2ccccc12,nM,140.0,nM,140.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4ccc(-c5ccccc5)cc4)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,19.0,nM,19.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,nM,26.0,nM,26.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4cccc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,6.6,nM,6.6,Active
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,nM,10.0,nM,10.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4c5ccccc5cc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,36.0,nM,36.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4c5ccccc5cc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,48.0,nM,48.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4ccc5ccccc5c4)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,20.0,nM,20.0,Active
O=C(COC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,nM,30.0,nM,30.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4ccc5ccccc5c4)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,25.0,nM,25.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4ccccc4)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,2.9,nM,2.9,Active
Oc1ccc2c3c1OC1[C@@H](OCc4ccccc4)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,1.4,nM,1.4,Active
Oc1ccc2c3c1OC1[C@H](OCc4ccc(-c5ccccc5)cc4)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,11.0,nM,11.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4cccc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,nM,5.5,nM,5.5,Active
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)C1(NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)Cc2ccccc2C1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,nM,369.0,nM,369.0,Active
C=C(COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314)C(=O)OC,nM,21.0,nM,21.0,Active
C=C(CO[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)C(=O)OC,nM,1.4,nM,1.4,Active
C=C(COc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(OCC(=C)C(=O)OC)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4)C(=O)OC,nM,50.0,nM,50.0,Active
C=C(COc1ccc2c3c1O[C@H]1[C@@]4(OC)C=C[C@@]5(C[C@@H]4[C@](C)(O)CCC)[C@@H](C2)N(C)CC[C@]315)C(=O)OC,nM,1.2,nM,1.2,Active
Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,nM,0.32,nM,0.32,Active
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)C1(NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)CCc2ccccc2C1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,nM,1620.0,nM,1620.0,Active
C=C(COc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,nM,0.8,nM,0.8,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,nM,45.0,nM,45.0,Active
Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4,nM,22.0,nM,22.0,Active
CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,nM,1.5,nM,1.5,Active
CN1CC[C@]23c4c5ccc(-c6ccoc6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,nM,7400.0,nM,7400.0,Active
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,nM,420.0,nM,420.0,Active
CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,nM,0.68,nM,0.68,Active
C=C(COc1ccc2c3c1O[C@H]1[C@H](OCC(=C)C(=O)OC)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,nM,3.2,nM,3.2,Active
C=C(COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,nM,17.0,nM,17.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,nM,430.0,nM,430.0,Active
CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,nM,1.3,nM,1.3,Active
C=C(COc1ccc2c3c1O[C@H]1[C@@]4(OC)CC[C@@]5(C[C@@H]4C(C)(C)O)[C@@H](C2)N(CC2CC2)CC[C@]315)C(=O)OC,nM,1.3,nM,1.3,Active
CC(=O)c1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,nM,7900.0,nM,7900.0,Active
C=C(COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,nM,34.0,nM,34.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2ncc(-c4ccccc4)cc2C[C@@]3(O)[C@H]1C5,nM,920.0,nM,920.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2ncc(-c4ccc(Cl)c(Cl)c4)cc2C[C@H]3[C@H]1C5,nM,74.0,nM,74.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2ncc(-c4ccc(Br)cc4)cc2C[C@H]3[C@H]1C5,nM,55.0,nM,55.0,Active
Brc1ccc2c(c1)[C@H]1c3cc(Br)ccc3[C@H](C2)N2CCC[C@@H]12,nM,5020.0,nM,5020.0,Active
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,nM,5.1,nM,5.1,Active
C[C@@H]1[C@H]2c3cc(NCc4ccccc4)ccc3C[C@@H](c3ccc(NCc4ccccc4)cc32)N1C,nM,120.0,nM,120.0,Active
